img	label	text	gen	
5066	img/19247.png	0	a man standing in his back arrangement and tie stands on their face	necklace and hand and man and mouth and beard and jacket and necklace and face and nose and beard and hand
5067	img/19248.png	0	a woman in large black and holding a landscape up dead checks in a sunny day time in the building	hair and umbrella and hair and umbrella and woman and shirt and hair and woman and sidewalk,side walk and umbrella and arm
5068	img/19258.png	1	a girl is tow she could produce a woman and one another	shirt and shirt and foot and pants and shirt and shirt and pants and hair and wall and hair and pants
5069	img/19302.png	0	a person wearing a brown desktop wide image of lift are two men that man posing in glasses and desktop wide source jacket and written electrical his face	shirt and collar and pocket and pocket and man and eyes and hair and man and shirt and hair and eye
5070	img/19320.png	0	a woman and another lady smiling	table and man and shirt and man and shirt and people and beer and beer and glass and woman and beer
5071	img/19326.png	0	a man with a red and smart on it	nose and eyes and face and eyes and eye and eye and eye and eye and nose and wall and woman
5072	img/19342.png	1	a man with decorations tie and and convention	tie and sign and man and tie and tie and man and glasses and pocket and suit and tie and hair
5073	img/19345.png	0	a onlookers eye fingers holds a cart suit from a fallen	hand and eyes and nose and eye and hand and eye and face and shirt and nose and shirt and wall
5074	img/19352.png	0	a sticks stands in a field of green grass	collar and ears and tail and tree and leg and sky and ear and tree and collar and ear and collar
5075	img/19358.png	0	people setting up with a building in a tall clementine	tie and shirt and tie and shirt and man and shirt and man and man and pants and man and shirt
5076	img/19367.png	0	a man in a wildebeests holding papers in a pizzas room	hair and bottles and bottle and man and bottle and bottle and man and man and bottle and hand and hair
5077	img/19370.png	0	a picture of a paper picture with an animal with of the <unk>	shadow and handle and sky and shadow and handle and wall and handle and handle and wall and handle and handle
5078	img/19380.png	1	serves boulevard us another police and one another wearing leather kiss on it	pocket and tie and glasses and head and pocket and man and ring and tie and wall and hand and nose
5079	img/19406.png	1	a man sitting at a table with a wine glass	hair and shirt and hand and table and shirt and eyes and woman and pen and table and book and hair
5080	img/19427.png	0	a large dock with a yellow banana plant	stem and wall and apple and rim and apple and stem and vegetable and bowl and bowl and leaf and banana
5081	img/19430.png	0	a information cat laying on a shelf for overhead including carrots and a paws carrots	statue and bell and statue and wood and chicken and statue and bell and statue and background and wood and hoof
5082	img/19487.png	0	a person holding her cell phone in her face in his ear and smiling	necklace and woman and bracelet and ring and hair and woman and hand and ear and microphone and hand and woman
5083	img/19502.png	1	chocolate food on a plate and some slices of cheese frosting on a paper bag	knife and potato and knife and potato and knife and mushroom and potato and mushroom and crumbs and shadow and knife
5084	img/19504.png	0	two people moving along a mechanical mountain with two big cows	head and horse and man and clouds and sky and sky and sky and sky and man and man and clouds
5085	img/19532.png	1	a woman brushing a green pen that the camera	hair and hair and hand and hair and bracelet and hand and finger and ear and hair and nose and ear
5086	img/19537.png	1	a cat wars a photo in a fourth the same batter snowboarding closed	nose and eye and ear and eye and eyes and nose and ear and whiskers and nose and mouth and eyes
5087	img/19542.png	0	two pictures from an egg among	shadow and dress and girl and grass and girl and girl and hair and wall and head and head and shadow
5088	img/19543.png	1	there is a brown dog that has a designed gazelle like it a christmas hat	nose and nose and eye and dog and eye and mouth and window and glasses and eye and eyes and mouth
5089	img/19547.png	0	four people in winter clothes	teeth and nose and glasses and glasses and hat and teeth and hand and hand and woman and face and hat
5090	img/19563.png	0	a man holds a brocolli costume and wearing a crowd	hand and ear and hat and hat and shirt and man and hat and hat and hat and man and man
5091	img/19573.png	0	a man wearing a wide head tie of glasses and holding glass	man and man and man and shirt and nose and teeth and mouth and hand and teeth and hand and hair
5092	img/19586.png	0	a close up of a person sitting by a woman	nose and nose and hand and nose and eye and eye and face and woman and watch and eye and shirt
5093	img/19602.png	0	little basket filled with bent and a truck	wheels and chair and wall and wheel and wheel and wheel and wall and shoe and chair and wheels and ground
5094	img/19630.png	0	a dog stands under a young man standing in someones condiments	nose and teeth and nose and nose and teeth and teeth and ear and eyes and eye and eye and eye
5095	img/19647.png	0	a group of people sitting on a bench while a man and talking on city square	chair and skateboard,skate board and wall and floor and floor and boy and picture and glasses and shirt and wall and head
5096	img/19653.png	1	a cliff neck soar record with a giant steer curve fingers	shirt and hand and man and man and ear and necklace and ear and nose and neck and necklace and head
5097	img/19702.png	0	a couple of men in suits hold carriage on it	tie and tie and table and man and headband and hair and tie and table and hand and tie and headband
5098	img/19705.png	1	a man wineglass well with of <unk>	tie and ear and nose and shirt and tie and hair and ear and eyebrow and hair and man and shirt
5099	img/19726.png	1	black and white picture of a man with sunglasses on	hair and hair and man and ear and nose and mouth and mouth and collar and head and shirt and face
5100	img/19742.png	1	two men holding doughnuts stops on another sign	plane and plane and plane and tail and sky and plane and wing and plane and plane and sky and tail
